ticker,entry_date,entry_price,category,pattern_used,market_regime_verdict,sector_health_verdict,exit_date,exit_price,exit_reason,return_pct,days_held,target_pct,stop_pct,confidence_score,caps_applied
AIAENG.NS,2024-07-22,4381.85,ALERT_WATCHLIST,is_ascending_triangle_breakout,FAVORABLE,NEUTRAL,2024-07-31,4761.575826539266,TARGET_HIT,8.665879172935304,7,8.665879172935304,6.932703338348244,52.2,
AZAD.NS,2024-07-22,1613.0,EXECUTE,,FAVORABLE,NEUTRAL,2024-08-20,1601.55,TIME_EXIT,-0.7098574085554895,20,11.334904439355602,9.067923551484492,100.0,
BHEL.NS,2024-07-22,304.9,ALERT_WATCHLIST,,FAVORABLE,NEUTRAL,2024-08-20,296.4,TIME_EXIT,-2.7877992784519514,20,10.091502587569641,8.073202070055713,43.4,
BRITANNIA.NS,2024-07-22,5887.85,ALERT_WATCHLIST,,FAVORABLE,WEAK,2024-08-14,5604.749078379424,STOP_HIT,-4.808222383732205,17,6.010277979665264,4.808222383732205,44.8,
CGPOWER.NS,2024-07-22,689.75,ALERT_WATCHLIST,,FAVORABLE,NEUTRAL,2024-08-20,735.55,TIME_EXIT,6.640086988039139,20,10.210435911099792,8.16834872887984,41.0,
COCHINSHIP.NS,2024-07-22,2670.35,ALERT_WATCHLIST,,FAVORABLE,NEUTRAL,2024-08-06,2366.3108101632483,STOP_HIT,-11.385743061274798,11,14.23217882659349,11.385743061274798,44.6,
COFORGE.NS,2024-07-22,5390.5,ALERT_WATCHLIST,is_ascending_triangle_breakout,FAVORABLE,WEAK,2024-07-23,5874.214718355208,TARGET_HIT,8.973466623786438,1,8.973466623786438,7.178773299029164,50.2,
EICHERMOT.NS,2024-07-22,4857.35,ALERT_WATCHLIST,,FAVORABLE,NEUTRAL,2024-08-05,4649.9218029300455,STOP_HIT,-4.27039840797873,10,5.337998009973418,4.27039840797873,44.8,
GVT&D.NS,2024-07-22,1453.6,ALERT_WATCHLIST,,FAVORABLE,NEUTRAL,2024-08-02,1671.6578224672855,TARGET_HIT,15.001226091585417,9,15.001226091585417,12.000980873268338,44.4,
PRESTIGE.NS,2024-07-22,1774.3,ALERT_WATCHLIST,,FAVORABLE,NEUTRAL,2024-08-05,1604.3180559688506,STOP_HIT,-9.5802256682156,10,11.975282085269502,9.5802256682156,44.0,
