ticker,entry_date,entry_price,category,pattern_used,market_regime_verdict,sector_health_verdict,exit_date,exit_price,exit_reason,return_pct,days_held,target_pct,stop_pct,stop_provenance,target_provenance,proximal_low,reward_risk,bars_since_breakout,breakout_within_last_k_bars,confidence_score,caps_applied,sampled_avoid,recommended_risk_fraction
GPIL.NS,2023-12-11,136.39471408780392,AVOID,,CAUTION,NEUTRAL,2023-12-28,147.17307142108308,TARGET_HIT,7.902327744417286,12,7.902327744417286,6.3218621955338286,ATR_FALLBACK_NO_PATTERN,ATR_FALLBACK_NO_PATTERN,,1.25,,False,31.2,,False,
GRANULES.NS,2023-12-11,385.35,AVOID,,CAUTION,,2024-01-01,412.0209416539564,TARGET_HIT,6.921225289725285,14,6.921225289725285,5.536980231780229,ATR_FALLBACK_NO_PATTERN,ATR_FALLBACK_NO_PATTERN,,1.25,,False,0.0,,False,
GRAPHITE.NS,2023-12-11,516.4,AVOID,,CAUTION,,2023-12-18,556.5710938564646,TARGET_HIT,7.779065425341713,5,7.779065425341713,6.223252340273375,ATR_FALLBACK_NO_PATTERN,ATR_FALLBACK_NO_PATTERN,,1.2499999999999991,,False,0.0,,False,
GRASIM.NS,2023-12-11,2084.05,AVOID,,CAUTION,,2024-01-01,2174.0146456027524,TARGET_HIT,4.316818003538887,14,4.316818003538887,3.453454402831114,ATR_FALLBACK_NO_PATTERN,ATR_FALLBACK_NO_PATTERN,,1.2499999999999984,,False,0.0,,False,
GRAVITA.NS,2023-12-11,1059.1,AVOID,,CAUTION,,2024-01-18,979.768380062086,STOP_HIT,-7.490474925683502,27,9.363093657104383,7.490474925683502,ATR_FALLBACK_NO_PATTERN,ATR_FALLBACK_NO_PATTERN,,1.2500000000000007,,False,0.0,,False,
GRSE.NS,2023-12-11,841.85,AVOID,,CAUTION,,2024-01-10,908.5986036267889,TARGET_HIT,7.928800098210946,21,7.928800098210946,6.343040078568757,ATR_FALLBACK_NO_PATTERN,ATR_FALLBACK_NO_PATTERN,,1.25,,False,0.0,,False,
GVT&D.NS,2023-12-11,432.6,AVOID,,CAUTION,,2023-12-15,480.238446177868,TARGET_HIT,11.012123480783169,4,11.012123480783169,8.80969878462654,ATR_FALLBACK_NO_PATTERN,ATR_FALLBACK_NO_PATTERN,,1.2499999999999993,,False,0.0,,False,
HAL.NS,2023-12-11,2791.75,AVOID,,CAUTION,,2023-12-21,2633.950248101467,STOP_HIT,-5.652359699060913,8,7.065449623826132,5.652359699060913,ATR_FALLBACK_NO_PATTERN,ATR_FALLBACK_NO_PATTERN,,1.2499999999999987,,False,0.0,,False,
HAVELLS.NS,2023-12-11,1345.0,AVOID,,CAUTION,,2024-01-03,1397.7640972583326,TARGET_HIT,3.922981208797966,16,3.922981208797966,3.1383849670383794,ATR_FALLBACK_NO_PATTERN,ATR_FALLBACK_NO_PATTERN,,1.2499999999999973,,False,0.0,,False,
HBLENGINE.NS,2023-12-11,410.25,AVOID,,CAUTION,NEUTRAL,2023-12-13,453.0187629356275,TARGET_HIT,10.425048856947587,2,10.425048856947587,8.340039085558061,ATR_FALLBACK_NO_PATTERN,ATR_FALLBACK_NO_PATTERN,,1.2500000000000013,,False,29.4,,False,
HCLTECH.NS,2023-12-11,1375.3,AVOID,,CAUTION,NEUTRAL,2023-12-15,1430.9935561865698,TARGET_HIT,4.049556910242844,4,4.049556910242844,3.239645528194285,ATR_FALLBACK_NO_PATTERN,ATR_FALLBACK_NO_PATTERN,,1.2499999999999962,,False,34.4,,False,
HDFCAMC.NS,2023-12-11,1494.045141946969,AVOID,,CAUTION,,2023-12-20,1575.1121420134732,TARGET_HIT,5.426007407036017,7,5.426007407036017,4.340805925628819,ATR_FALLBACK_NO_PATTERN,ATR_FALLBACK_NO_PATTERN,,1.2499999999999982,,False,0.0,,False,
HDFCBANK.NS,2023-12-11,818.2289089150247,AVOID,,CAUTION,,2023-12-28,845.8931935981439,TARGET_HIT,3.3809957557967634,12,3.3809957557967634,2.7047966046374103,ATR_FALLBACK_NO_PATTERN,ATR_FALLBACK_NO_PATTERN,,1.25,,False,0.0,,False,
HDFCLIFE.NS,2023-12-11,672.5,AVOID,,CAUTION,NEUTRAL,2023-12-12,703.9329306765131,TARGET_HIT,4.674041736284481,1,4.674041736284481,3.7392333890275853,ATR_FALLBACK_NO_PATTERN,ATR_FALLBACK_NO_PATTERN,,1.25,,False,32.8,,False,
HEG.NS,2023-12-11,336.7992734593838,AVOID,,CAUTION,,2023-12-20,364.33501168245243,TARGET_HIT,8.17571188329457,7,8.17571188329457,6.5405695066356575,ATR_FALLBACK_NO_PATTERN,ATR_FALLBACK_NO_PATTERN,,1.25,,False,0.0,,False,
HEROMOTOCO.NS,2023-12-11,3704.65,AVOID,,CAUTION,NEUTRAL,2023-12-15,3911.9584869380924,TARGET_HIT,5.5958993950330616,4,5.5958993950330616,4.476719516026444,ATR_FALLBACK_NO_PATTERN,ATR_FALLBACK_NO_PATTERN,,1.2500000000000013,,False,35.8,,False,
HFCL.NS,2023-12-11,68.45,AVOID,,CAUTION,,2023-12-15,73.72294597577823,TARGET_HIT,7.70335423780603,4,7.70335423780603,6.162683390244828,ATR_FALLBACK_NO_PATTERN,ATR_FALLBACK_NO_PATTERN,,1.2499999999999991,,False,0.0,,False,
HINDALCO.NS,2023-12-11,522.4,AVOID,,CAUTION,,2023-12-15,548.5125985780612,TARGET_HIT,4.99858318875598,4,4.99858318875598,3.9988665510047863,ATR_FALLBACK_NO_PATTERN,ATR_FALLBACK_NO_PATTERN,,1.2499999999999993,,False,0.0,,False,
HINDCOPPER.NS,2023-12-11,182.85,AVOID,,CAUTION,NEUTRAL,2023-12-19,198.90687040065475,TARGET_HIT,8.781444025515318,6,8.781444025515318,7.0251552204122545,ATR_FALLBACK_NO_PATTERN,ATR_FALLBACK_NO_PATTERN,,1.25,,False,29.6,,False,
HINDPETRO.NS,2023-12-11,360.85,AVOID,,CAUTION,,2023-12-28,398.2196396144145,TARGET_HIT,10.35600377287363,12,10.35600377287363,8.284803018298897,ATR_FALLBACK_NO_PATTERN,ATR_FALLBACK_NO_PATTERN,,1.2500000000000009,,False,0.0,,False,
HINDUNILVR.NS,2023-12-11,2503.65,AVOID,,CAUTION,NEUTRAL,2023-12-26,2590.7389623007134,TARGET_HIT,3.4784799113579496,10,3.4784799113579496,2.78278392908636,ATR_FALLBACK_NO_PATTERN,ATR_FALLBACK_NO_PATTERN,,1.25,,False,32.8,,False,
HINDZINC.NS,2023-12-11,325.35,AVOID,,CAUTION,,2023-12-18,313.39771824599234,STOP_HIT,-3.6736688962679223,5,4.592086120334912,3.6736688962679223,ATR_FALLBACK_NO_PATTERN,ATR_FALLBACK_NO_PATTERN,,1.2500000000000024,,False,0.0,,False,
HOMEFIRST.NS,2023-12-11,1019.95,AVOID,,CAUTION,,2023-12-28,941.9803356697724,STOP_HIT,-7.644459466662837,12,9.555574333328536,7.644459466662837,ATR_FALLBACK_NO_PATTERN,ATR_FALLBACK_NO_PATTERN,,1.249999999999999,,False,0.0,,False,
HONASA.NS,2023-12-11,406.55,AVOID,,CAUTION,,2024-01-08,478.8260211403408,TARGET_HIT,17.77789229869408,19,17.77789229869408,14.22231383895526,ATR_FALLBACK_NO_PATTERN,ATR_FALLBACK_NO_PATTERN,,1.2500000000000002,,False,0.0,,False,
HONAUT.NS,2023-12-11,36252.45,AVOID,,CAUTION,,2023-12-21,35120.69143618919,STOP_HIT,-3.121881593687618,8,3.902351992109527,3.121881593687618,ATR_FALLBACK_NO_PATTERN,ATR_FALLBACK_NO_PATTERN,,1.2500000000000016,,False,0.0,,False,
HSCL.NS,2023-12-11,296.0,MONITOR,,CAUTION,NEUTRAL,2023-12-20,272.6039044146101,STOP_HIT,-7.9040863464155064,7,9.880107933019389,7.9040863464155064,ATR_FALLBACK_NO_PATTERN,ATR_FALLBACK_NO_PATTERN,,1.2500000000000007,,False,44.0,,False,
HUDCO.NS,2023-12-11,1118.573846153846,AVOID,,CAUTION,,2023-12-14,476.98103686941545,STOP_HIT,-57.35810930056265,3,71.69763662570332,57.35810930056265,ATR_FALLBACK_NO_PATTERN,ATR_FALLBACK_NO_PATTERN,,1.25,,False,0.0,,False,
ICICIBANK.NS,2023-12-11,1017.1,AVOID,,CAUTION,,2024-01-02,986.1285332720109,STOP_HIT,-3.045075875330752,15,3.80634484416344,3.045075875330752,ATR_FALLBACK_NO_PATTERN,ATR_FALLBACK_NO_PATTERN,,1.25,,False,0.0,,False,
