ticker,episode_start_date,episode_end_date,category,category_changes,pattern_used,market_regime_verdict,sector_health_verdict,confidence_score,exit_reason,days_held,gross_return_pct,net_return_pct,r_multiple,n_signals_absorbed,caps_applied,gate
ATHERENERG.NS,2025-09-04,2025-09-08,MONITOR,MONITOR,,UNFAVORABLE,NEUTRAL,100.0,TARGET_HIT,2,11.98409552277312,11.68409552277312,1.2187085271235185,1,,4_pattern_requirement
ATHERENERG.NS,2025-09-11,2025-10-06,MONITOR,"AVOID,MONITOR",,CAUTION,NEUTRAL,100.0,TARGET_HIT,16,14.40133981363931,14.10133981363931,1.2239607560926495,4,,4_pattern_requirement
ATHERENERG.NS,2025-10-10,2025-10-16,MONITOR,MONITOR,,CAUTION,NEUTRAL,100.0,TARGET_HIT,4,13.281135007959763,12.981135007959763,1.2217644614127305,1,,4_pattern_requirement
ATHERENERG.NS,2025-10-17,2025-10-21,MONITOR,MONITOR,,CAUTION,WEAK,100.0,TARGET_HIT,2,11.585526451105297,11.285526451105296,1.2176320276352903,1,,4_pattern_requirement
ATHERENERG.NS,2025-10-27,2025-11-06,MONITOR,"AVOID,MONITOR",,CAUTION,WEAK,100.0,STOP_HIT,7,-10.62912627419623,-10.92912627419623,-1.028224333050619,2,,4_pattern_requirement
SBIN.NS,2025-10-28,2025-10-29,ALERT_WATCHLIST,ALERT_WATCHLIST,is_vcp_breakout,CAUTION,NEUTRAL,71.0,TARGET_HIT,1,3.342909068895197,3.042909068895197,1.1378222553256794,1,,2_sector_ceiling
SBIN.NS,2025-11-04,2025-11-06,ALERT_WATCHLIST,ALERT_WATCHLIST,is_vcp_breakout,CAUTION,NEUTRAL,71.8,TARGET_HIT,1,3.3812220137804863,3.0812220137804864,1.13909335190897,1,,2_sector_ceiling
ATHERENERG.NS,2025-11-11,2026-01-01,MONITOR,"AVOID,MONITOR",,CAUTION,NEUTRAL,100.0,TARGET_HIT,36,15.465740775415702,15.165740775415701,1.2257528588222486,8,,4_pattern_requirement
VIYASH.NS,2025-11-12,2025-11-18,ALERT_WATCHLIST,ALERT_WATCHLIST,is_ascending_triangle_breakout,CAUTION,WEAK,68.6,TARGET_HIT,4,14.630341134008612,14.330341134008611,1.4542441488394464,1,,2_sector_ceiling
MARICO.NS,2025-11-19,2026-01-05,EXECUTE,"AVOID,EXECUTE,MONITOR",is_ascending_triangle_breakout,CAUTION,STRONG,71.6,TARGET_HIT,32,5.69350046108133,5.39350046108133,1.339255927676194,7,,5_execute
MARICO.NS,2026-01-08,2026-01-28,ALERT_WATCHLIST,"ALERT_WATCHLIST,AVOID,MONITOR",is_ascending_triangle_breakout,CAUTION,NEUTRAL,86.8,STOP_HIT,12,-2.780102141724325,-3.080102141724325,-1.1079097042865944,3,,2_sector_ceiling
ATHERENERG.NS,2026-01-14,2026-02-09,MONITOR,"AVOID,MONITOR",,CAUTION,NEUTRAL,100.0,TARGET_HIT,17,12.419580094005624,12.119580094005624,1.2198057424517106,4,,4_pattern_requirement
ATHERENERG.NS,2026-04-16,2026-05-05,MONITOR,"AVOID,MONITOR",,UNFAVORABLE,NEUTRAL,100.0,TARGET_HIT,12,12.909947474127822,12.609947474127821,1.2209526316236736,3,,4_pattern_requirement
ATHERENERG.NS,2026-05-08,2026-06-03,MONITOR,"AVOID,MONITOR",,CAUTION,NEUTRAL,100.0,TARGET_HIT,17,12.406310068062496,12.106310068062495,1.2197734460977765,4,,4_pattern_requirement
OFSS.NS,2026-06-02,2026-07-22,ALERT_WATCHLIST,"ALERT_WATCHLIST,AVOID,MONITOR",is_ascending_triangle_breakout,UNFAVORABLE,NEUTRAL,78.8,TIME_EXIT,35,9.071719354676585,8.771719354676584,0.8568748404014709,7,,1_regime_ceiling
APOLLOHOSP.NS,2026-06-09,2026-07-17,ALERT_WATCHLIST,"ALERT_WATCHLIST,AVOID",is_flat_base_breakout,UNFAVORABLE,WEAK,67.4,TIME_EXIT,27,3.957597173144877,3.657597173144877,0.587645787569577,6,,1_regime_ceiling
