ticker,entry_date,return_pct,net_return_pct,exit_reason
TORNTPHARM.NS,2026-03-25,-5.933890047481946,-6.233890047481946,STOP_HIT
ACUTAAS.NS,2026-03-12,7.4173625593524415,7.117362559352442,TARGET_HIT
DIXON.NS,2026-01-22,-5.933890047481951,-6.2338900474819505,STOP_HIT
BDL.NS,2026-05-08,-5.933890047481946,-6.233890047481946,STOP_HIT
PRESTIGE.NS,2024-09-13,-5.9338900474819445,-6.233890047481944,STOP_HIT
SIEMENS.NS,2025-02-18,7.417362559352439,7.117362559352439,TARGET_HIT
ADANIPORTS.NS,2024-11-06,-5.933890047481941,-6.233890047481941,STOP_HIT
AUBANK.NS,2025-08-28,-5.933890047481951,-6.2338900474819505,STOP_HIT
DABUR.NS,2025-10-21,3.68285939968404,3.3828593996840404,TIME_EXIT
RRKABEL.NS,2025-11-07,-0.6318541651536091,-0.9318541651536092,TIME_EXIT
ULTRACEMCO.NS,2025-04-08,7.417362559352443,7.117362559352443,TARGET_HIT
CRISIL.NS,2026-02-06,-5.933890047481945,-6.233890047481945,STOP_HIT
SHYAMMETL.NS,2024-10-30,-5.933890047481945,-6.233890047481945,STOP_HIT
3MINDIA.NS,2026-03-13,-5.933890047481946,-6.233890047481946,STOP_HIT
LODHA.NS,2025-07-22,-5.933890047481945,-6.233890047481945,STOP_HIT
FEDERALBNK.NS,2025-07-15,-5.933890047481944,-6.233890047481943,STOP_HIT
COROMANDEL.NS,2025-02-05,-5.933890047481947,-6.233890047481947,STOP_HIT
AWL.NS,2026-03-18,7.417362559352441,7.117362559352441,TARGET_HIT
INFY.NS,2026-07-13,-0.553237801559941,-0.8532378015599409,TIME_EXIT
HONASA.NS,2026-05-25,7.417362559352436,7.117362559352436,TARGET_HIT
SUNPHARMA.NS,2026-03-20,-5.933890047481947,-6.233890047481947,STOP_HIT
AJANTPHARM.NS,2025-07-04,-0.011129660545360116,-0.3111296605453601,TIME_EXIT
PIDILITIND.NS,2025-11-19,-1.76068260310151,-2.06068260310151,TIME_EXIT
INDUSINDBK.NS,2025-02-20,-5.933890047481947,-6.233890047481947,STOP_HIT
REDINGTON.NS,2024-12-23,-5.933890047481946,-6.233890047481946,STOP_HIT
TECHM.NS,2024-08-20,1.4091858037578315,1.1091858037578315,TIME_EXIT
SBIN.NS,2024-11-04,-5.933890047481954,-6.233890047481954,STOP_HIT
