bin,n,mean_predicted_p,realized_win_rate
"(0.0324, 0.384]",20,0.253477452514009,0.5
"(0.384, 0.489]",19,0.4531924583468475,0.5789473684210527
"(0.489, 0.658]",19,0.5771963255492444,0.6842105263157895
"(0.658, 0.844]",19,0.7697471801243704,0.8947368421052632
"(0.844, 1.0]",19,0.9484563699945577,0.7894736842105263
