strategy,total_return_pct,max_drawdown_pct,cagr_pct,calmar,n_taken,n_missed_due_to_slots,slot_utilization_pct
Hand-set FULL PRODUCTION (category==EXECUTE),0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Hand-set SCORE-ONLY (score>=65, no ceiling)",6.57,-2.12,9.82,4.63,12.0,0.0,100.0
"Calibrated (Reading A, p>=0.6527)",31.67,-1.18,39.32,33.32,35.0,8.0,81.4
NIFTY buy-and-hold,-5.16,-15.18,-6.19,-0.41,,,
