system,n_taken,n_missed_due_to_slots,final_equity,max_drawdown_pct,cagr_pct,calmar
momentum_baseline,98,0,146.26,-28.33,21.91,0.77
falcon_e_sector_aware,78,5,117.2,-4.08,9.08,2.23
