,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
const,0.15036983347331193,0.8899820336167207,0.1689582798230623,0.8658294574103478,-1.5939628993031763,1.8947025662498
prior_trend_pct_gain,-0.09135109569868226,0.24375955885054595,-0.37475902946924644,0.7078396869888911,-0.5691110519331241,0.38640886053575957
prior_trend_slope,-0.46727005614545114,0.2703550583205398,-1.7283569948650412,0.08392424059874888,-0.997156233491935,0.06261612120103277
base_depth_pct,1.3456588767154563,0.4617965468794268,2.9139647877592343,0.0035687015722130023,0.4405542766468171,2.2507634767840954
base_length_bars,-0.00884532617149842,0.28321449160991297,-0.0312318982027289,0.9750846012292983,-0.5639355296267492,0.5462448772837523
contraction_slope,-0.17012664523228518,0.22438548630487282,-0.7581891682652501,0.4483377447262039,-0.6099141170433414,0.2696608265787711
volume_dryup_ratio,0.32840906881978094,0.4202114550100316,0.7815328804207418,0.43448914587119836,-0.49519024889105423,1.152008386530616
volume_down_up_ratio,0.007178821335668274,0.25954389314584697,0.027659372943266432,0.9779338269904664,-0.501517861637504,0.5158755043088405
pivot_proximity,0.017977269858891195,0.27652351328745683,0.0650117223131153,0.9481646669446255,-0.5239988570630073,0.5599533967807896
breakout_volume_ratio,0.6100129894967535,0.38245825181078774,1.5949792862582637,0.11071686788352071,-0.13959140964254135,1.3596173886360483
dist_52w_high,-0.4836345963328484,0.31253008413910427,-1.5474817333667854,0.12174712586251497,-1.0961823053307655,0.12891311266506872
RS_Rating,-0.5159743369565901,0.328205263088069,-1.572108661822818,0.11592535303685231,-1.1592448321456987,0.12729615823251839
rs_line_new_high,0.28827923471523476,0.5200670964260876,0.5543116199742224,0.5793655992443771,-0.7310335438242164,1.3075920132546859
market_regime_verdict_FAVORABLE,-0.12703847383123346,0.9123293269564222,-0.1392462897745931,0.8892555308250583,-1.9151710967054885,1.6610941490430218
market_regime_verdict_UNFAVORABLE,-1.2730320605231997,0.5979877527759359,-2.1288597544241026,0.03326586536035122,-2.4450665191600756,-0.10099760188632367
sector_health_verdict_STRONG,-2.7670694751624123,2.5511787445809544,-1.0846239139613556,0.27808825899488165,-7.767287932665193,2.2331489823403676
sector_health_verdict_WEAK,0.732952622670879,0.4964034049977661,1.476526178691658,0.13980269281681323,-0.23998017292779272,1.7058854182695509
pattern_used_is_flat_base_breakout,-1.036117866281734,0.6748705153449853,-1.5352839436941228,0.12471409639732725,-2.3588397705858912,0.28660403802242307
pattern_used_is_vcp_breakout,-0.669187028447166,0.7716285703670351,-0.8672398277436235,0.3858106182359493,-2.1815512358086857,0.8431771789143537
macd_signal_BULLISH_ALIGNMENT,1.025917184737877,0.8964127124857512,1.1444696962105882,0.25242889841193183,-0.7310194470180538,2.782853816493808
