ticker,entry_date,entry_price,category,pattern_used,market_regime_verdict,sector_health_verdict,exit_date,exit_price,exit_reason,return_pct,days_held,target_pct,stop_pct,stop_provenance,target_provenance,reward_risk,bars_since_breakout,breakout_within_last_k_bars,confidence_score,caps_applied,sampled_avoid,recommended_risk_fraction,proximal_low
360ONE.NS,2024-07-23,1000.3,AVOID,,FAVORABLE,,2024-07-31,1113.1906388897232,TARGET_HIT,11.285678185516671,6,11.285678185516671,9.028542548413348,ATR_FALLBACK_NO_PATTERN,ATR_FALLBACK_NO_PATTERN,1.2499999999999991,,False,0.0,,False,,
3MINDIA.NS,2024-07-23,38490.75,AVOID,,FAVORABLE,NEUTRAL,2024-08-14,36067.91771336866,STOP_HIT,-6.294583209294023,16,7.8682290116175295,6.294583209294023,ATR_FALLBACK_NO_PATTERN,ATR_FALLBACK_NO_PATTERN,1.25,,False,20.0,,False,,
ABB.NS,2024-07-23,7503.05,AVOID,,FAVORABLE,,2024-09-18,7785.25,TIME_EXIT,3.761137137564055,40,10.170890161782236,8.136712129425794,ATR_FALLBACK_NO_PATTERN,ATR_FALLBACK_NO_PATTERN,1.2499999999999991,,False,0.0,,False,,
ABBOTINDIA.NS,2024-07-23,27728.8,AVOID,,FAVORABLE,WEAK,2024-08-08,29387.519591885048,TARGET_HIT,5.981937883662648,12,5.981937883662648,4.785550306930113,ATR_FALLBACK_NO_PATTERN,ATR_FALLBACK_NO_PATTERN,1.250000000000001,,False,4.8,,False,,
ABCAPITAL.NS,2024-07-23,215.2,AVOID,,FAVORABLE,WEAK,2024-08-05,201.8475488944879,STOP_HIT,-6.204670588063245,9,7.75583823507905,6.204670588063245,ATR_FALLBACK_NO_PATTERN,ATR_FALLBACK_NO_PATTERN,1.249999999999999,,False,5.4,,False,,
ACC.NS,2024-07-23,2646.55,AVOID,,FAVORABLE,NEUTRAL,2024-08-01,2487.953994907262,STOP_HIT,-5.992556539371571,7,7.490695674214451,5.992556539371571,ATR_FALLBACK_NO_PATTERN,ATR_FALLBACK_NO_PATTERN,1.2499999999999978,,False,23.8,,False,,
ACUTAAS.NS,2024-07-23,1284.75,AVOID,,FAVORABLE,,2024-09-05,1423.787705279555,TARGET_HIT,10.822160364238568,31,10.822160364238568,8.657728291390846,ATR_FALLBACK_NO_PATTERN,ATR_FALLBACK_NO_PATTERN,1.250000000000001,,False,0.0,,False,,
ADANIENT.NS,2024-07-23,2995.35,AVOID,,FAVORABLE,,2024-07-31,3192.605903523006,TARGET_HIT,6.585404160549054,6,6.585404160549054,5.268323328439233,ATR_FALLBACK_NO_PATTERN,ATR_FALLBACK_NO_PATTERN,1.2500000000000022,,False,0.0,,False,,
ADANIPORTS.NS,2024-07-23,1507.35,MONITOR,,FAVORABLE,NEUTRAL,2024-09-06,1428.567385317074,STOP_HIT,-5.226564147870494,32,6.533205184838114,5.226564147870494,ATR_FALLBACK_NO_PATTERN,ATR_FALLBACK_NO_PATTERN,1.2499999999999991,,False,41.4,,False,,
AIAENG.NS,2024-07-23,4305.5,AVOID,,FAVORABLE,NEUTRAL,2024-07-29,4685.834696072176,TARGET_HIT,8.833694020954026,4,8.833694020954026,7.066955216763213,ATR_FALLBACK_NO_PATTERN,ATR_FALLBACK_NO_PATTERN,1.2500000000000016,,False,32.0,,False,,
AIIL.NS,2024-07-23,996.85,AVOID,,FAVORABLE,,2024-08-08,1127.7012575828371,TARGET_HIT,13.126474151862077,12,13.126474151862077,10.501179321489658,ATR_FALLBACK_NO_PATTERN,ATR_FALLBACK_NO_PATTERN,1.25,,False,0.0,,False,,
AJANTPHARM.NS,2024-07-23,2335.1,AVOID,,FAVORABLE,,2024-07-30,2514.8570062715285,TARGET_HIT,7.698043178944309,5,7.698043178944309,6.158434543155459,ATR_FALLBACK_NO_PATTERN,ATR_FALLBACK_NO_PATTERN,1.2499999999999976,,False,0.0,,False,,
ALKEM.NS,2024-07-23,5180.65,AVOID,,FAVORABLE,,2024-08-08,5559.766656735255,TARGET_HIT,7.317936103293134,12,7.317936103293134,5.8543488826344925,ATR_FALLBACK_NO_PATTERN,ATR_FALLBACK_NO_PATTERN,1.250000000000003,,False,0.0,,False,,
AMBUJACEM.NS,2024-07-23,691.35,AVOID,,FAVORABLE,NEUTRAL,2024-08-02,651.5398387927692,STOP_HIT,-5.758322298001137,8,7.197902872501426,5.758322298001137,ATR_FALLBACK_NO_PATTERN,ATR_FALLBACK_NO_PATTERN,1.2500000000000009,,False,27.4,,False,,
APARINDS.NS,2024-07-23,8092.95,AVOID,,FAVORABLE,,2024-07-30,9061.53591465344,TARGET_HIT,11.968267623714976,5,11.968267623714976,9.574614098971985,ATR_FALLBACK_NO_PATTERN,ATR_FALLBACK_NO_PATTERN,1.2499999999999998,,False,0.0,,False,,
APLAPOLLO.NS,2024-07-23,1497.55,AVOID,,FAVORABLE,,2024-08-05,1405.415340529565,STOP_HIT,-6.1523594851881445,9,7.690449356485172,6.1523594851881445,ATR_FALLBACK_NO_PATTERN,ATR_FALLBACK_NO_PATTERN,1.249999999999999,,False,0.0,,False,,
APOLLOHOSP.NS,2024-07-23,6403.6,AVOID,,FAVORABLE,WEAK,2024-07-26,6679.126347262572,TARGET_HIT,4.302678919085688,3,4.302678919085688,3.4421431352685503,ATR_FALLBACK_NO_PATTERN,ATR_FALLBACK_NO_PATTERN,1.25,,False,15.2,,False,,
APOLLOTYRE.NS,2024-07-23,518.6,AVOID,,FAVORABLE,,2024-07-29,562.3495611724585,TARGET_HIT,8.436089697735918,4,8.436089697735918,6.748871758188729,ATR_FALLBACK_NO_PATTERN,ATR_FALLBACK_NO_PATTERN,1.2500000000000009,,False,0.0,,False,,
ASHOKLEY.NS,2024-07-23,229.63,AVOID,,FAVORABLE,,2024-07-26,246.77079997860235,TARGET_HIT,7.464529886601198,3,7.464529886601198,5.971623909280954,ATR_FALLBACK_NO_PATTERN,ATR_FALLBACK_NO_PATTERN,1.250000000000001,,False,0.0,,False,,
ASIANPAINT.NS,2024-07-23,2897.1,AVOID,,FAVORABLE,NEUTRAL,2024-07-31,3049.893124044229,TARGET_HIT,5.274002417735977,6,5.274002417735977,4.219201934188785,ATR_FALLBACK_NO_PATTERN,ATR_FALLBACK_NO_PATTERN,1.2499999999999991,,False,31.8,,False,,
ASTRAL.NS,2024-07-23,2236.55,AVOID,,FAVORABLE,NEUTRAL,2024-08-05,2100.759173068423,STOP_HIT,-6.071441592254908,9,7.58930199031864,6.071441592254908,ATR_FALLBACK_NO_PATTERN,ATR_FALLBACK_NO_PATTERN,1.2500000000000009,,False,16.8,,False,,
ATGL.NS,2024-07-23,879.15,AVOID,,FAVORABLE,,2024-08-12,826.3466979756558,STOP_HIT,-6.006176650667592,14,7.507720813334494,6.006176650667592,ATR_FALLBACK_NO_PATTERN,ATR_FALLBACK_NO_PATTERN,1.2500000000000004,,False,0.0,,False,,
AUBANK.NS,2024-07-23,656.25,AVOID,,FAVORABLE,,2024-07-26,621.2459501203759,STOP_HIT,-5.333950457847476,3,6.667438072309354,5.333950457847476,ATR_FALLBACK_NO_PATTERN,ATR_FALLBACK_NO_PATTERN,1.2500000000000016,,False,0.0,,False,,
AUROPHARMA.NS,2024-07-23,1357.75,AVOID,,FAVORABLE,,2024-08-07,1454.864992758446,TARGET_HIT,7.152641705648747,11,7.152641705648747,5.72211336451899,ATR_FALLBACK_NO_PATTERN,ATR_FALLBACK_NO_PATTERN,1.2500000000000016,,False,0.0,,False,,
AVALON.NS,2024-07-23,523.85,AVOID,,FAVORABLE,,2024-08-05,487.3797208245279,STOP_HIT,-6.9619698721909264,9,8.702462340238666,6.9619698721909264,ATR_FALLBACK_NO_PATTERN,ATR_FALLBACK_NO_PATTERN,1.250000000000001,,False,0.0,,False,,
AWL.NS,2024-07-23,322.35,AVOID,,FAVORABLE,,2024-07-29,342.5702665447519,TARGET_HIT,6.272767657748377,4,6.272767657748377,5.018214126198705,ATR_FALLBACK_NO_PATTERN,ATR_FALLBACK_NO_PATTERN,1.2499999999999991,,False,0.0,,False,,
