bin,n,mean_predicted_p,realized_win_rate
"(0.024999999999999998, 0.35]",20,0.2190563492277377,0.5
"(0.35, 0.477]",19,0.4160900775453472,0.5263157894736842
"(0.477, 0.679]",19,0.577783206200635,0.8421052631578947
"(0.679, 0.852]",19,0.7664532399891428,0.8421052631578947
"(0.852, 1.0]",19,0.9452696846953491,0.7368421052631579
