,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
const,1.177553183397544,0.32986831616133666,3.5697674669112796,0.00035729824675915855,0.5310231640804521,1.8240832027146356
prior_trend_pct_gain,-0.13766227369927073,0.24339567059936607,-0.5655904780897498,0.5716722022314311,-0.6147090220670027,0.3393844746684612
prior_trend_slope,-0.5442752879700967,0.25289645038320685,-2.1521665770530656,0.031384237019384115,-1.039943222539203,-0.04860735340099054
base_depth_pct,1.3197238001676979,0.42170987748341376,3.129459068028597,0.001751284697857223,0.4931876283754082,2.1462599719599877
base_length_bars,0.010973355117832644,0.2718568975434149,0.040364453567267776,0.9678025690846866,-0.5218563730160561,0.5438030832517213
contraction_slope,-0.20705973115527157,0.22518585047927422,-0.9195059579213173,0.3578309907541257,-0.6484158879226707,0.23429642561212757
volume_dryup_ratio,0.3221374268187045,0.41191352312701984,0.7820511071673859,0.4341845389496698,-0.48519824325526106,1.12947309689267
volume_down_up_ratio,0.034355607384146794,0.25653403965808647,0.13392221722285516,0.8934640817365731,-0.4684418711542726,0.5371530859225662
pivot_proximity,-0.0750481205162313,0.2770242939453173,-0.27090808335764693,0.7864617278145135,-0.6180057594916906,0.4679095184592279
breakout_volume_ratio,0.5020614189378022,0.3693820392602209,1.359192829037667,0.17408549302920728,-0.221914074548191,1.2260369124237953
dist_52w_high,-0.15177179818584746,0.23169886213982369,-0.6550390311984247,0.5124426245040516,-0.605893223238813,0.302349626867118
rs_line_new_high,0.0816951893674374,0.49129877755952234,0.16628412912657772,0.8679333552890616,-0.8812327202977818,1.0446230990326566
market_regime_verdict_FAVORABLE,0.34376158918325866,0.8629803344630899,0.39834232074028975,0.6903778686443707,-1.3476487857307275,2.0351719640972448
market_regime_verdict_UNFAVORABLE,-1.216559149947937,0.5836090897049744,-2.084544554580072,0.037110661882033096,-2.3604119468198923,-0.0727063530759815
sector_health_verdict_STRONG,-2.670271592870107,2.375386082579567,-1.12414213944131,0.2609527309368027,-7.325942764103745,1.985399578363531
sector_health_verdict_WEAK,0.6120546907684723,0.48034167938549704,1.2742069177746063,0.20259009419903307,-0.32939770110058764,1.5535070826375321
pattern_used_is_flat_base_breakout,-0.936835988701745,0.6657477463041105,-1.407193631375513,0.15936997959936194,-2.2416775942465104,0.36800561684302036
pattern_used_is_vcp_breakout,-0.5926492202482019,0.7690050666115226,-0.7706701112641561,0.44090249227789857,-2.099871454735611,0.9145730142392077
