ticker,episode_start_date,episode_end_date,category,category_changes,pattern_used,market_regime_verdict,sector_health_verdict,confidence_score,exit_reason,days_held,gross_return_pct,net_return_pct,r_multiple,n_signals_absorbed,consolidation_valid,consolidation_invalidated_reason,prior_trend_pct_gain,prior_trend_slope,prior_trend_bars,base_depth_pct,base_length_bars,contraction_slope,volume_dryup_ratio,volume_down_up_ratio,pivot_proximity,breakout_volume_ratio,dist_52w_high,dist_52w_high_invalidated_reason,rs_line_new_high,rs_line_invalidated_reason,rs_line_value,excluded_insufficient_history,RS_Rating,macd_signal
CEATLTD.NS,2023-12-11,2023-12-18,AVOID,AVOID,,CAUTION,,0.0,TARGET_HIT,5,6.100496253731559,5.800496253731559,1.188529590970469,1,True,,7.14,2.3788,3.0,12.07,22.0,-0.000433,0.935,0.33,2.45,0.648,13.45,,False,,0.108901,False,35.0,
CARBORUNIV.NS,2023-12-11,2023-12-20,MONITOR,"AVOID,MONITOR",,CAUTION,NEUTRAL,40.4,STOP_HIT,7,-6.11902984866649,-6.41902984866649,-1.0490273797349392,2,True,,16.29,1.1632,14.0,7.96,8.0,-0.000853,0.462,0.501,2.21,0.695,8.63,,False,,0.056784,False,27.0,
PAYTM.NS,2023-12-11,2024-01-16,AVOID,AVOID,,CAUTION,,0.0,TARGET_HIT,25,13.600109151054124,13.300109151054123,1.222426691886444,5,True,,6.44,1.609,4.0,31.28,12.0,0.002548,4.705,5.959,29.16,0.716,34.22,,False,,0.031273,False,9.0,
PCBL.NS,2023-12-11,2024-01-15,AVOID,AVOID,,CAUTION,,0.0,TARGET_HIT,24,10.784997908306485,10.484997908306484,1.2152294786528248,5,True,,31.73,2.6446,12.0,35.85,41.0,-6e-06,1.375,0.401,9.15,0.335,9.15,,False,,0.012276,False,88.0,
BPCL.NS,2023-12-11,2023-12-14,AVOID,AVOID,,CAUTION,,0.0,STOP_HIT,3,-4.955238837936752,-5.255238837936751,-1.0605419859287575,1,True,,6.41,1.0685,6.0,31.31,38.0,8e-05,1.839,0.73,3.52,1.513,3.52,,True,,0.010889,False,57.0,
PNB.NS,2023-12-11,2023-12-28,AVOID,AVOID,,CAUTION,,0.0,TARGET_HIT,12,6.811300049160287,6.511300049160287,1.194944430975959,3,True,,19.97,1.4265,14.0,15.39,18.0,7.7e-05,1.132,0.755,1.01,1.239,1.01,,False,,0.004212,False,79.0,
BRIGADE.NS,2023-12-11,2023-12-15,AVOID,AVOID,,CAUTION,,0.0,TARGET_HIT,4,10.102234035736963,9.802234035736962,1.2128794978740913,1,True,,60.88,2.4352,25.0,13.04,7.0,-8.1e-05,1.991,0.198,11.62,0.322,11.62,,True,,0.039353,False,58.0,
PIIND.NS,2023-12-11,2023-12-12,AVOID,AVOID,,CAUTION,NEUTRAL,30.6,STOP_HIT,1,-4.002425443760008,-4.302425443760008,-1.0749545504883085,1,True,,5.29,0.8811,6.0,16.55,38.0,5.7e-05,1.145,1.363,1.29,0.751,3.53,,False,,0.184285,False,28.0,
BRITANNIA.NS,2023-12-11,2024-02-07,AVOID,AVOID,,CAUTION,,0.0,TIME_EXIT,40,2.7122963502321,2.4122963502321,0.02108934780314121,8,True,,16264.14,4066.0345,4.0,99.43,16.0,-1.110448,1.649,0.82,2.29,1.02,4.16,,False,,0.235468,False,99.0,
PIDILITIND.NS,2023-12-11,2023-12-15,AVOID,AVOID,,CAUTION,,0.0,TARGET_HIT,4,4.226842729767428,3.9268427297674284,1.1612812981284901,1,True,,10.55,0.6591,16.0,6.2,16.0,-5.8e-05,0.823,0.58,3.14,0.766,8.96,,False,,0.059432,False,13.0,
BSE.NS,2023-12-11,2024-01-23,AVOID,"AVOID,MONITOR",,CAUTION,,0.0,STOP_HIT,30,-10.24473860011083,-10.544738600110831,-1.0292833240271015,6,True,,25.28,5.0561,5.0,11.83,6.0,-0.000118,0.483,0.767,9.31,0.446,9.31,,False,,0.039216,False,98.0,
PHOENIXLTD.NS,2023-12-11,2024-01-05,AVOID,AVOID,,CAUTION,,0.0,TARGET_HIT,18,10.040662181102636,9.740662181102635,1.2126518656602367,4,True,,22.51,2.5014,9.0,11.55,11.0,2.2e-05,0.725,0.639,9.22,0.245,9.22,,False,,0.055034,False,42.0,
PGEL.NS,2023-12-11,2023-12-15,AVOID,AVOID,,CAUTION,,0.0,TARGET_HIT,4,8.434719753899284,8.134719753899283,1.205540905810576,1,True,,38.81,2.0429,19.0,9.02,13.0,-0.000195,0.96,0.543,7.04,0.14,7.04,,False,,0.010817,False,80.0,
BSOFT.NS,2023-12-11,2023-12-14,AVOID,AVOID,,CAUTION,,0.0,TARGET_HIT,3,5.756585558457101,5.4565855584571015,1.1848572176697592,1,True,,25.21,1.4829,17.0,10.03,15.0,-0.000158,0.642,0.537,1.04,0.439,1.04,,False,,0.031435,False,88.0,
PFOCUS.NS,2023-12-11,2023-12-19,AVOID,AVOID,,CAUTION,,0.0,STOP_HIT,6,-10.074331455253652,-10.374331455253653,-1.0297786509539106,2,True,,39.69,1.8898,21.0,18.62,11.0,0.000526,1.103,0.209,2.86,7.3,8.02,,False,,0.005739,False,64.0,
CAMS.NS,2023-12-11,2024-01-31,MONITOR,"AVOID,MONITOR",,CAUTION,NEUTRAL,49.0,TARGET_HIT,35,8.362063357866361,8.06206335786636,1.2051546091016856,7,True,,31.61,2.4319,13.0,9.64,15.0,6.5e-05,1.137,0.704,9.44,0.669,9.44,,False,,0.025265,False,45.0,
PFIZER.NS,2023-12-11,2023-12-18,AVOID,AVOID,,CAUTION,,0.0,TARGET_HIT,5,4.2091347388530185,3.9091347388530187,1.1609080551547781,1,True,,7.89,0.2924,27.0,4.2,6.0,-0.000475,2.036,0.209,1.25,0.562,11.0,,False,,0.19476,False,13.0,
CANBK.NS,2023-12-11,2023-12-20,AVOID,"AVOID,MONITOR",,CAUTION,NEUTRAL,39.4,STOP_HIT,7,-4.564330814443574,-4.864330814443574,-1.0657270500750442,2,True,,7.87,2.6247,3.0,13.46,18.0,-1.8e-05,0.814,0.567,0.62,1.157,0.62,,True,,0.004469,False,72.0,
PFC.NS,2023-12-11,2023-12-13,AVOID,AVOID,,CAUTION,,0.0,STOP_HIT,2,-53.77206305131058,-54.07206305131058,-1.005579105263522,1,True,,400.6,33.3837,12.0,71.8,13.0,0.02253,0.553,0.37,0.0,0.0,0.0,,False,,0.04495,False,99.0,
PETRONET.NS,2023-12-11,2023-12-28,AVOID,AVOID,,CAUTION,,0.0,TARGET_HIT,12,5.326851706552211,5.026851706552211,1.1796019448901238,3,True,,5.43,1.3576,4.0,10.84,24.0,-0.000477,1.443,0.654,1.91,0.322,17.1,,False,,0.010044,False,3.0,
CANFINHOME.NS,2023-12-11,2024-02-02,AVOID,"AVOID,MONITOR",,CAUTION,NEUTRAL,32.4,TARGET_HIT,37,8.11126422013621,7.81126422013621,1.2037679959840213,8,True,,12.99,1.2988,10.0,10.77,6.0,0.001618,2.928,2.008,10.36,3.59,16.94,,False,,0.035988,False,37.0,
PERSISTENT.NS,2023-12-11,2023-12-14,AVOID,AVOID,,CAUTION,,0.0,TARGET_HIT,3,5.611372386982529,5.311372386982529,1.1831714286383954,1,True,,17.76,0.7102,25.0,5.34,12.0,4.3e-05,2.817,2.709,1.47,0.432,1.47,,False,,0.152922,False,61.0,
CAPLIPOINT.NS,2023-12-11,2023-12-22,AVOID,AVOID,,CAUTION,,0.0,TARGET_HIT,9,10.258231405808184,9.958231405808183,1.213443990960501,2,True,,10.19,1.4558,7.0,10.79,6.0,2.3e-05,1.34,0.934,9.45,0.35,10.9,,False,,0.057289,False,69.0,
NTPC.NS,2023-12-11,2024-02-07,AVOID,AVOID,,CAUTION,NEUTRAL,29.8,TIME_EXIT,40,298.5415941524539,298.2415941524539,0.2556017658826408,8,True,,12946.36,1618.2947,8.0,99.23,10.0,-10.260317,1.464,2.492,79.17,5.732,98.99,,False,,0.003954,False,99.0,
PNBHOUSING.NS,2023-12-11,2024-01-16,MONITOR,"AVOID,MONITOR",,CAUTION,NEUTRAL,54.0,TARGET_HIT,25,11.28652765425199,10.98652765425199,1.216774546478099,5,True,,21.29,1.2526,17.0,21.06,15.0,0.000598,1.066,0.765,4.64,0.676,4.64,,False,,0.03746,False,70.0,
CGCL.NS,2023-12-11,2024-01-08,AVOID,AVOID,,CAUTION,,0.0,TARGET_HIT,19,7.039537356231408,6.739537356231408,1.1967294537945665,4,True,,11.98,5.9925,2.0,9.72,6.0,-4.8e-05,0.587,0.404,6.93,0.79,12.79,,False,,0.010916,False,18.0,
CGPOWER.NS,2023-12-11,2024-02-07,AVOID,AVOID,,CAUTION,,0.0,TIME_EXIT,40,-3.0598669623059895,-3.3598669623059894,-0.4002858756261862,8,True,,35.72,2.7476,13.0,18.54,12.0,-0.000621,2.091,1.806,10.42,0.362,10.42,,False,,0.021479,False,53.0,
NAUKRI.NS,2023-12-11,2024-02-07,AVOID,AVOID,is_flat_base_breakout,CAUTION,NEUTRAL,36.2,TIME_EXIT,40,11.345638275933178,11.045638275933177,1.4899718372083095,8,True,,21.83,1.2843,17.0,8.77,15.0,0.000131,0.838,0.723,1.45,2.77,2.04,,False,,0.046114,False,41.0,
COFORGE.NS,2023-12-11,2023-12-15,MONITOR,MONITOR,,CAUTION,NEUTRAL,51.2,TARGET_HIT,4,5.905722866159753,5.605722866159753,1.1865022693244236,1,True,,16.19,4.0482,4.0,7.22,15.0,-7.8e-05,1.202,0.4,0.93,1.371,0.93,,False,,0.056674,False,56.0,
NATIONALUM.NS,2023-12-11,2023-12-14,AVOID,AVOID,,CAUTION,,0.0,TARGET_HIT,3,6.482134872025404,6.182134872025404,1.192148689065642,1,True,,6.72,1.6807,4.0,10.53,18.0,-9.6e-05,1.93,0.97,2.68,0.795,7.85,,False,,0.004667,False,27.0,
