ticker,episode_start_date,episode_end_date,category,category_changes,pattern_used,market_regime_verdict,sector_health_verdict,confidence_score,exit_reason,days_held,gross_return_pct,net_return_pct,r_multiple,n_signals_absorbed,consolidation_valid,consolidation_invalidated_reason,prior_trend_pct_gain,prior_trend_slope,prior_trend_bars,base_depth_pct,base_length_bars,contraction_slope,volume_dryup_ratio,volume_down_up_ratio,pivot_proximity,breakout_volume_ratio,dist_52w_high,dist_52w_high_invalidated_reason,rs_line_new_high,rs_line_invalidated_reason,rs_line_value,excluded_insufficient_history,RS_Rating,macd_signal
HFCL.NS,2023-12-11,2023-12-15,AVOID,AVOID,,CAUTION,,0.0,TARGET_HIT,4,7.70335423780603,7.40335423780603,1.2013199070919516,1,True,,4.4,1.101,4.0,8.02,9.0,0.000399,1.589,0.185,4.53,0.91,22.92,,False,,0.00326,False,9.0,
HBLENGINE.NS,2023-12-11,2023-12-13,AVOID,AVOID,,CAUTION,NEUTRAL,29.4,TARGET_HIT,2,10.425048856947587,10.125048856947586,1.2140289455574036,1,True,,41.0,2.2777,18.0,20.78,14.0,0.000279,1.194,0.522,1.55,0.73,1.55,,True,,0.019538,False,97.0,
HEROMOTOCO.NS,2023-12-11,2023-12-15,AVOID,AVOID,,CAUTION,NEUTRAL,35.8,TARGET_HIT,4,5.5958993950330616,5.295899395033062,1.1829866436961245,1,True,,27.72,1.4588,19.0,5.19,8.0,1.2e-05,1.066,0.413,4.63,0.501,4.63,,False,,0.176436,False,54.0,
HCLTECH.NS,2023-12-11,2023-12-15,AVOID,AVOID,,CAUTION,NEUTRAL,34.4,TARGET_HIT,4,4.049556910242844,3.749556910242844,1.1573972762176772,1,True,,6.21,1.0347,6.0,9.57,26.0,-9.1e-05,0.902,0.68,0.56,1.268,0.56,,False,,0.0655,False,47.0,
HEG.NS,2023-12-11,2023-12-20,AVOID,AVOID,,CAUTION,,0.0,TARGET_HIT,7,8.17571188329457,7.87571188329457,1.2041324345386681,2,True,,16.47,3.2947,5.0,8.06,6.0,0.000405,1.614,0.473,3.64,0.635,8.87,,False,,0.01604,False,62.0,
HDFCLIFE.NS,2023-12-11,2023-12-12,AVOID,AVOID,,CAUTION,NEUTRAL,32.8,TARGET_HIT,1,4.674041736284481,4.3740417362844815,1.169769650944945,1,True,,13.34,0.8893,15.0,4.03,7.0,-4.5e-05,1.063,1.988,3.24,0.704,3.24,,False,,0.032028,False,39.0,
HDFCAMC.NS,2023-12-11,2023-12-20,AVOID,"AVOID,MONITOR",,CAUTION,,0.0,TARGET_HIT,7,5.426007407036017,5.126007407036017,1.1808884098621506,2,True,,10.38,0.7415,14.0,8.46,16.0,-4.2e-05,1.332,0.458,2.39,0.488,2.39,,False,,0.071155,False,70.0,
HINDALCO.NS,2023-12-11,2023-12-15,AVOID,AVOID,,CAUTION,,0.0,TARGET_HIT,4,4.99858318875598,4.69858318875598,1.17497874180757,1,True,,14.43,1.0306,14.0,7.03,18.0,-0.000187,1.175,0.854,1.21,0.478,1.21,,False,,0.02488,False,36.0,
GRAVITA.NS,2023-12-11,2024-01-18,AVOID,AVOID,,CAUTION,,0.0,STOP_HIT,27,-7.490474925683502,-7.790474925683502,-1.0400508649954028,6,True,,9.38,4.6918,2.0,9.66,10.0,-5.7e-05,1.234,1.254,9.01,1.758,9.17,,False,,0.05044,False,90.0,
HSCL.NS,2023-12-11,2023-12-20,MONITOR,"AVOID,MONITOR",,CAUTION,NEUTRAL,44.0,STOP_HIT,7,-7.9040863464155064,-8.204086346415506,-1.037955050951088,2,True,,15.8,1.7554,9.0,28.3,35.0,-0.000375,0.431,0.819,5.25,0.604,5.25,,True,,0.014097,False,95.0,
GRASIM.NS,2023-12-11,2024-01-01,AVOID,AVOID,,CAUTION,,0.0,TARGET_HIT,14,4.316818003538887,4.016818003538887,1.1631304586636304,3,True,,7.83,2.6114,3.0,12.92,41.0,-0.000157,0.782,1.105,0.73,0.427,0.73,,False,,0.099254,False,42.0,
GODFRYPHLP.NS,2023-12-11,2024-01-05,AVOID,AVOID,,CAUTION,,0.0,TARGET_HIT,18,6.407760220590133,6.107760220590134,1.191477210898901,4,True,,20.73,4.1454,5.0,16.42,27.0,-0.001076,0.502,1.449,13.44,1.778,13.44,,False,,0.035321,False,30.0,
INDHOTEL.NS,2023-12-11,2023-12-20,AVOID,AVOID,,CAUTION,,0.0,STOP_HIT,7,-3.4812420885944424,-3.781242088594442,-1.0861761383912043,2,True,,5.44,0.6045,9.0,16.0,38.0,-0.000262,0.811,1.081,0.32,0.771,0.32,,False,,0.021003,False,33.0,
IIFL.NS,2023-12-11,2023-12-13,AVOID,AVOID,,CAUTION,,0.0,STOP_HIT,2,-26.16316517240013,-26.46316517240013,-1.0114665025436782,1,True,,67.64,6.7635,10.0,39.77,6.0,0.007902,248.776,0.031,11.89,0.062,27.72,,False,,0.043339,False,25.0,
GODREJCP.NS,2023-12-11,2023-12-26,AVOID,AVOID,,CAUTION,NEUTRAL,15.0,TARGET_HIT,10,4.387666018639472,4.087666018639472,1.164533148510632,2,True,,7.31,1.0449,7.0,7.54,25.0,-0.000142,0.992,0.817,1.02,0.899,5.35,,False,,0.049678,False,25.0,
IGL.NS,2023-12-11,2024-01-01,AVOID,AVOID,,CAUTION,,0.0,TARGET_HIT,14,5.154788643231445,4.854788643231445,1.177252109455078,3,True,,7.72,2.573,3.0,7.17,25.0,-0.000533,0.752,1.131,2.51,1.399,22.08,,False,,0.00976,False,2.0,
IFCI.NS,2023-12-11,2024-02-07,AVOID,AVOID,,CAUTION,,0.0,TIME_EXIT,40,-94.00015313570054,-94.30015313570054,-0.02667300934210354,8,True,,4723.01,4723.0088,1.0,97.79,20.0,0.669072,1.093,1.343,97.51,0.001,98.83,,False,,0.054493,False,1.0,
GODREJIND.NS,2023-12-11,2023-12-20,AVOID,AVOID,,CAUTION,,0.0,TARGET_HIT,7,6.3349556544824885,6.034955654482489,1.1908046369299123,2,True,,5.14,1.7125,3.0,6.42,13.0,-0.000531,1.631,0.35,2.85,0.563,9.08,,False,,0.031769,False,64.0,
IEX.NS,2023-12-11,2023-12-20,AVOID,AVOID,,CAUTION,,0.0,STOP_HIT,7,-6.2472240878963525,-6.547224087896352,-1.0480213284779127,2,True,,23.94,1.197,20.0,11.75,12.0,0.000579,2.253,0.612,4.0,0.667,6.2,,False,,0.007315,False,29.0,
IDFCFIRSTB.NS,2023-12-11,2024-01-10,AVOID,AVOID,,CAUTION,,0.0,STOP_HIT,21,-4.752246287380508,-5.052246287380508,-1.0631280413215627,5,True,,10.02,0.9113,11.0,9.17,17.0,-1e-06,1.274,0.782,4.06,1.141,13.26,,False,,0.00416,False,52.0,
GODREJPROP.NS,2023-12-11,2023-12-14,AVOID,AVOID,,CAUTION,NEUTRAL,26.8,TARGET_HIT,3,6.2913071881018325,5.991307188101833,1.1903939453617514,1,True,,23.62,1.3119,18.0,7.24,14.0,-0.000101,0.571,0.461,2.11,1.114,2.11,,False,,0.091629,False,34.0,
IDEA.NS,2023-12-11,2023-12-29,AVOID,AVOID,,CAUTION,,0.0,TARGET_HIT,13,10.928023007629527,10.628023007629526,1.2156845524814324,3,True,,43.33,2.549,17.0,15.95,15.0,-0.000349,0.733,1.001,12.62,1.369,12.62,,False,,0.000626,False,78.0,
GPIL.NS,2023-12-11,2023-12-28,AVOID,"ALERT_WATCHLIST,AVOID,MONITOR",,CAUTION,NEUTRAL,31.2,TARGET_HIT,12,7.902327744417286,7.602327744417286,1.2025456280568818,3,True,,8.9,2.2254,4.0,4.42,6.0,-0.000131,0.799,0.795,1.55,0.769,1.55,,False,,0.006496,False,81.0,
IDBI.NS,2023-12-11,2024-01-16,AVOID,AVOID,,CAUTION,,0.0,TARGET_HIT,25,6.892840581420752,6.592840581420752,1.195595724205373,5,True,,11.58,1.0525,11.0,12.24,17.0,-0.000478,1.005,0.835,1.47,0.805,10.64,,False,,0.003181,False,41.0,
ICICIPRULI.NS,2023-12-11,2023-12-20,AVOID,AVOID,,CAUTION,,0.0,STOP_HIT,7,-4.714107724405785,-5.014107724405785,-1.0636387663452929,2,True,,12.75,0.5314,24.0,5.92,8.0,8.2e-05,0.662,0.919,5.61,0.782,12.69,,False,,0.025596,False,31.0,
GRANULES.NS,2023-12-11,2024-01-01,AVOID,"AVOID,MONITOR",,CAUTION,,0.0,TARGET_HIT,14,6.921225289725285,6.6212252897252855,1.1958188421410445,3,True,,12.44,2.0735,6.0,5.3,7.0,2e-05,0.371,1.017,4.83,0.328,4.83,,False,,0.018353,False,51.0,
ICICIGI.NS,2023-12-11,2023-12-21,AVOID,AVOID,,CAUTION,NEUTRAL,34.0,STOP_HIT,8,-4.135870780139645,-4.435870780139645,-1.0725361153546171,2,True,,11.68,0.9731,12.0,3.55,7.0,-0.000375,0.589,1.01,3.02,0.738,3.02,,False,,0.068914,False,45.0,
GRAPHITE.NS,2023-12-11,2023-12-18,AVOID,AVOID,,CAUTION,,0.0,TARGET_HIT,5,7.779065425341713,7.479065425341713,1.2017936950654282,1,True,,10.52,2.1034,5.0,12.63,16.0,9e-06,2.614,0.337,3.3,0.756,5.59,,False,,0.024594,False,59.0,
ICICIBANK.NS,2023-12-11,2024-01-02,AVOID,AVOID,,CAUTION,,0.0,STOP_HIT,15,-3.045075875330752,-3.345075875330752,-1.0985197125728154,3,True,,5.25,0.35,15.0,10.32,17.0,0.000135,1.23,1.134,0.28,0.831,0.28,,False,,0.04844,False,30.0,
HUDCO.NS,2023-12-11,2023-12-14,AVOID,AVOID,,CAUTION,,0.0,STOP_HIT,3,-57.35810930056265,-57.65810930056265,-1.0052302979240122,1,True,,21.42,10.7117,2.0,93.48,8.0,0.170506,6191.036,43986.228,15.96,0.0,18.14,,False,,0.053273,False,16.0,
INDIAMART.NS,2023-12-11,2023-12-12,AVOID,AVOID,,CAUTION,,0.0,TARGET_HIT,1,5.701835309083393,5.401835309083393,1.1842317026585114,1,True,,3.89,0.9736,4.0,7.18,14.0,-0.00015,1.04,0.651,2.8,1.012,19.71,,False,,0.127551,False,9.0,
MMTC.NS,2023-12-11,2024-01-04,AVOID,AVOID,,CAUTION,,0.0,TARGET_HIT,17,11.03001964810329,10.730019648103289,1.216001873798613,4,True,,6.73,0.8415,8.0,18.2,13.0,-0.000825,2.314,0.286,5.66,1.269,35.48,,False,,0.002741,False,61.0,
FACT.NS,2023-12-11,2024-01-20,AVOID,"AVOID,MONITOR",,CAUTION,,0.0,TARGET_HIT,29,12.091625430029898,11.791625430029898,1.2189867998169486,6,True,,19.9,1.4216,14.0,19.53,18.0,-0.000306,0.741,0.388,8.06,2.467,8.06,,False,,0.037436,False,97.0,
EXIDEIND.NS,2023-12-11,2023-12-19,AVOID,AVOID,,CAUTION,,0.0,TARGET_HIT,6,5.366940078032246,5.066940078032246,1.1801277833276107,2,True,,23.87,0.9182,26.0,4.06,6.0,0.000262,0.926,1.011,2.04,0.395,2.04,,False,,0.013969,False,57.0,
DCMSHRIRAM.NS,2023-12-11,2023-12-19,AVOID,AVOID,,CAUTION,,0.0,TARGET_HIT,6,7.004134195737545,6.704134195737545,1.1964601920065687,2,True,,7.81,0.7096,11.0,11.27,17.0,-0.000241,1.052,0.434,3.79,0.576,14.16,,False,,0.045728,False,18.0,
M&MFIN.NS,2023-12-11,2023-12-18,AVOID,AVOID,,CAUTION,NEUTRAL,10.4,TARGET_HIT,5,458.57292206530644,458.27292206530643,1.2491822456539496,1,True,,643.61,643.6129,1.0,86.25,10.0,0.17714,3.75,1.209,86.18,1.675,86.18,,False,,0.012217,False,2.0,
M&M.NS,2023-12-11,2023-12-29,AVOID,AVOID,,CAUTION,,0.0,TARGET_HIT,13,5.4295725578114125,5.129572557811413,1.1809337897215302,3,True,,10.07,0.8391,12.0,10.26,16.0,9.9e-05,0.967,0.783,3.41,0.793,3.41,,False,,0.078687,False,31.0,
DEEPAKFERT.NS,2023-12-11,2023-12-18,AVOID,AVOID,,CAUTION,NEUTRAL,12.2,TARGET_HIT,5,7.760744681234548,7.460744681234548,1.2016798947262441,1,True,,12.86,1.6076,8.0,16.04,36.0,-0.000332,0.571,0.648,6.78,0.836,24.58,,False,,0.030954,False,11.0,
LUPIN.NS,2023-12-11,2023-12-27,AVOID,AVOID,,CAUTION,,0.0,TARGET_HIT,11,5.688912441765723,5.388912441765723,1.1840823041594215,3,True,,13.47,1.0363,13.0,6.49,6.0,-0.000152,0.744,0.683,6.06,0.453,6.06,,False,,0.058563,False,70.0,
LTTS.NS,2023-12-11,2023-12-15,AVOID,AVOID,,CAUTION,NEUTRAL,19.6,TARGET_HIT,4,5.153361392562054,4.8533613925620545,1.1772319615423754,1,True,,8.24,1.6481,5.0,18.01,42.0,-0.00014,1.01,0.732,1.39,0.724,1.39,,False,,0.235485,False,48.0,
DEEPAKNTR.NS,2023-12-11,2023-12-15,AVOID,AVOID,,CAUTION,,0.0,TARGET_HIT,4,5.756953615838851,5.456953615838851,1.184861382421381,1,True,,16.54,0.7878,21.0,6.79,11.0,-8.7e-05,1.157,0.677,4.42,0.477,6.3,,False,,0.105879,False,17.0,
LTM.NS,2023-12-11,2023-12-15,MONITOR,MONITOR,,CAUTION,NEUTRAL,43.0,TARGET_HIT,4,4.975890521828344,4.675890521828344,1.1746366055774473,1,True,,13.0,1.0,13.0,6.77,15.0,2.4e-05,1.33,0.605,0.51,1.525,0.51,,False,,0.274831,False,40.0,
MAHABANK.NS,2023-12-11,2023-12-20,AVOID,AVOID,,CAUTION,,0.0,STOP_HIT,7,-5.73129685111872,-6.03129685111872,-1.052344174066196,2,True,,21.22,1.5154,14.0,10.73,18.0,-0.000408,0.696,0.485,2.08,2.636,9.44,,False,,0.002238,False,75.0,
DELHIVERY.NS,2023-12-11,2023-12-13,AVOID,AVOID,,CAUTION,,0.0,STOP_HIT,2,-4.757338777799,-5.057338777799,-1.0630604659478962,1,True,,5.63,0.7034,8.0,9.44,17.0,-0.000196,5.035,3.509,8.26,0.349,14.92,,False,,0.018331,False,12.0,
LTFOODS.NS,2023-12-11,2023-12-20,AVOID,AVOID,,CAUTION,,0.0,STOP_HIT,7,-8.809195332653218,-9.109195332653218,-1.0340553238600563,2,True,,46.46,2.581,18.0,12.66,14.0,-9.9e-05,0.592,0.76,8.42,0.46,8.42,,False,,0.010232,False,83.0,
DEVYANI.NS,2023-12-11,2024-01-23,AVOID,AVOID,,CAUTION,,0.0,STOP_HIT,30,-5.185378238136135,-5.485378238136135,-1.0578549888209956,6,True,,5.15,0.7363,7.0,9.3,14.0,-0.000478,0.907,1.558,2.39,1.053,18.35,,False,,0.008846,False,5.0,
LTF.NS,2023-12-11,2023-12-29,AVOID,"AVOID,MONITOR",,CAUTION,,0.0,TARGET_HIT,13,7.008971427970375,6.708971427970376,1.1964971424332678,3,True,,19.51,1.3007,15.0,11.83,17.0,-0.000262,0.653,0.924,2.76,0.341,2.76,,False,,0.007301,False,74.0,
DIVISLAB.NS,2023-12-11,2023-12-26,AVOID,AVOID,,CAUTION,,0.0,TARGET_HIT,10,4.717286703208199,4.417286703208199,1.1705051497622616,2,True,,16.38,0.8621,19.0,5.04,6.0,4e-05,0.744,,4.29,0.613,6.71,,False,,0.17481,False,21.0,
LT.NS,2023-12-11,2023-12-27,MONITOR,"AVOID,MONITOR",,CAUTION,NEUTRAL,53.6,TARGET_HIT,11,4.283949534295634,3.9839495342956344,1.1624639548160183,3,True,,9.08,0.6485,14.0,11.63,16.0,0.000196,1.167,0.823,1.29,0.956,1.29,,True,,0.161251,False,68.0,
DIXON.NS,2023-12-11,2024-01-20,AVOID,AVOID,,CAUTION,,0.0,STOP_HIT,29,-5.615397621125026,-5.915397621125026,-1.0534245337981776,6,True,,6.9,1.7247,4.0,17.73,15.0,0.00035,1.457,0.352,0.43,4.023,0.43,,True,,0.303501,False,80.0,
LODHA.NS,2023-12-11,2023-12-29,AVOID,AVOID,,CAUTION,,0.0,TARGET_HIT,13,8.702423863079138,8.402423863079138,1.20690855721347,3,True,,35.06,1.3484,26.0,6.43,6.0,-0.000943,0.11,1.276,2.39,0.271,2.39,,False,,0.044056,False,57.0,
LLOYDSME.NS,2023-12-11,2023-12-12,ALERT_WATCHLIST,ALERT_WATCHLIST,is_ascending_triangle_breakout,CAUTION,NEUTRAL,100.0,TARGET_HIT,1,8.83546138887311,8.53546138887311,0.925133665625227,1,True,,11.8,3.9329,3.0,20.98,15.0,0.00023,2.543,0.576,4.74,3.499,,INSUFFICIENT_HISTORY,,INSUFFICIENT_HISTORY,,True,,
LTIM.NS,2023-12-11,2023-12-15,MONITOR,MONITOR,,CAUTION,NEUTRAL,43.0,TARGET_HIT,4,4.975890522218515,4.675890522218515,1.174636605583351,1,True,,13.0,1.0,13.0,6.77,15.0,2.4e-05,1.33,0.605,0.51,1.525,0.51,,False,,0.274831,False,40.0,
MANAPPURAM.NS,2023-12-11,2024-01-05,AVOID,"AVOID,MONITOR",,CAUTION,,0.0,TARGET_HIT,18,8.925111614986061,8.62511161498606,1.2079837187279163,4,True,,15.8,3.16,5.0,4.9,6.0,-0.000568,0.454,0.768,2.52,0.339,2.52,,False,,0.007911,False,66.0,
DATAPATTNS.NS,2023-12-11,2023-12-27,AVOID,AVOID,,CAUTION,NEUTRAL,28.8,STOP_HIT,11,-6.417814404824587,-6.717814404824587,-1.0467448855757615,3,True,,16.32,1.088,15.0,6.07,6.0,7.7e-05,0.557,0.518,3.84,1.587,18.31,,False,,0.096685,False,44.0,
MANKIND.NS,2023-12-11,2024-01-02,MONITOR,"AVOID,MONITOR",,CAUTION,NEUTRAL,100.0,TARGET_HIT,15,7.466669924317674,7.166669924317675,1.1997768076262891,3,True,,21.28,1.5198,14.0,9.59,14.0,2e-05,0.768,0.719,5.93,1.055,,INSUFFICIENT_HISTORY,,INSUFFICIENT_HISTORY,,True,,
CROMPTON.NS,2023-12-11,2023-12-29,AVOID,AVOID,,CAUTION,,0.0,TARGET_HIT,13,4.9235841072656745,4.623584107265675,1.1738359715544178,3,True,,5.5,0.9164,6.0,8.37,13.0,-7e-05,1.306,0.693,2.66,0.798,19.62,,False,,0.014181,False,4.0,
MGL.NS,2023-12-11,2023-12-12,ALERT_WATCHLIST,ALERT_WATCHLIST,is_ascending_triangle_breakout,CAUTION,NEUTRAL,51.4,TARGET_HIT,1,5.268929689339942,4.968929689339943,0.978931258350892,1,True,,5.88,1.9591,3.0,14.61,17.0,-0.00012,0.853,0.376,1.07,2.511,1.07,,False,,0.056146,False,32.0,BULLISH_ALIGNMENT
MFSL.NS,2023-12-11,2023-12-15,AVOID,AVOID,,CAUTION,,0.0,STOP_HIT,4,-4.493228119185869,-4.793228119185869,-1.0667671420284703,1,True,,8.16,2.7213,3.0,16.76,29.0,-0.000177,1.185,0.814,0.7,0.236,0.7,,False,,0.049373,False,65.0,
CUB.NS,2023-12-11,2023-12-18,AVOID,AVOID,,CAUTION,NEUTRAL,16.6,TARGET_HIT,5,5.963489038615273,5.663489038615273,1.187117348992884,1,True,,19.72,1.1599,17.0,9.23,15.0,-0.000138,0.871,0.73,1.91,1.132,23.56,,False,,0.007463,False,33.0,
METROPOLIS.NS,2023-12-11,2023-12-18,AVOID,AVOID,,CAUTION,,0.0,STOP_HIT,5,-4.8146456944958365,-5.114645694495836,-1.0623098809415952,1,True,,26.14,1.1363,23.0,4.57,7.0,-0.000207,0.58,1.307,4.06,0.312,4.06,,False,,0.018958,False,39.0,
CUMMINSIND.NS,2023-12-11,2023-12-12,AVOID,AVOID,,CAUTION,,0.0,STOP_HIT,1,-4.037005349974764,-4.337005349974763,-1.0743125098909951,1,True,,6.39,0.7984,8.0,17.46,41.0,-2.4e-05,0.394,0.681,0.44,1.33,0.44,,False,,0.095308,False,46.0,
MEDANTA.NS,2023-12-11,2024-01-05,MONITOR,"AVOID,MONITOR",,CAUTION,NEUTRAL,41.2,TARGET_HIT,18,8.969872804975472,8.669872804975471,1.20819338711336,4,True,,35.31,2.9426,12.0,14.27,20.0,-0.000301,1.075,1.246,9.24,1.295,9.24,,True,,0.044435,False,81.0,
MCX.NS,2023-12-11,2024-01-12,AVOID,AVOID,,CAUTION,,0.0,STOP_HIT,23,-7.6371946704066165,-7.937194670406616,-1.0392814394482401,5,True,,78.03,2.0007,39.0,15.04,17.0,-0.000108,0.806,0.71,2.75,0.43,2.75,,False,,0.031232,False,93.0,
CUPID.NS,2023-12-11,2023-12-28,AVOID,AVOID,,CAUTION,,0.0,TARGET_HIT,12,13.432469885088105,13.132469885088105,1.2220825728099114,3,True,,134.18,4.4726,30.0,18.59,12.0,-0.000185,0.495,0.556,5.74,0.315,5.74,,False,,0.000531,False,98.0,
MCDOWELL-N.NS,2023-12-11,2023-12-18,AVOID,AVOID,,CAUTION,,0.0,TARGET_HIT,5,5.063659404396172,4.763659404396172,1.1759428863492631,1,True,,4.06,0.5797,7.0,4.57,14.0,-0.00021,0.755,1.786,3.13,0.515,5.62,,False,,0.049893,False,38.0,
MAZDOCK.NS,2023-12-11,2023-12-26,AVOID,AVOID,,CAUTION,,0.0,TARGET_HIT,10,8.30333319611866,8.003333196118659,1.2048374139465714,2,True,,18.76,1.876,10.0,9.93,22.0,-0.00039,0.916,0.551,2.18,2.106,14.77,,False,,0.049417,False,89.0,
MAXHEALTH.NS,2023-12-11,2023-12-21,MONITOR,MONITOR,,CAUTION,NEUTRAL,47.2,STOP_HIT,8,-6.654634239808026,-6.954634239808025,-1.0450813657353848,2,True,,18.33,4.5836,4.0,8.17,6.0,-0.000257,1.048,1.237,3.09,1.533,3.09,,False,,0.032724,False,61.0,
CYIENT.NS,2023-12-11,2023-12-15,AVOID,AVOID,,CAUTION,,0.0,TARGET_HIT,4,9.550666976317473,9.250666976317472,1.2107357265278038,1,True,,45.26,1.7406,26.0,13.83,6.0,0.001062,1.283,0.689,10.56,0.866,10.56,,False,,0.095416,False,81.0,
MARUTI.NS,2023-12-11,2023-12-15,MONITOR,MONITOR,,CAUTION,NEUTRAL,44.0,STOP_HIT,4,-3.080584570528273,-3.380584570528273,-1.0973841143236507,1,True,,7.48,0.4677,16.0,6.81,31.0,-0.000207,1.03,1.028,3.58,1.384,3.58,,False,,0.502057,False,20.0,
DABUR.NS,2023-12-11,2023-12-20,AVOID,AVOID,,CAUTION,NEUTRAL,27.8,STOP_HIT,7,-2.8700136487126033,-3.170013648712603,-1.1045291196209364,2,True,,5.6,1.4007,4.0,4.53,14.0,-0.000149,1.08,0.766,1.03,0.812,9.86,,False,,0.026218,False,14.0,
MARKSANS.NS,2023-12-11,2023-12-20,AVOID,AVOID,,CAUTION,,0.0,STOP_HIT,7,-8.077618367942978,-8.37761836794298,-1.0371396600253595,2,True,,76.5,2.9423,26.0,8.52,6.0,-0.000217,0.273,1.273,5.15,0.16,5.15,,False,,0.00777,False,93.0,
MARICO.NS,2023-12-11,2023-12-22,AVOID,AVOID,,CAUTION,,0.0,STOP_HIT,9,-3.455252910091179,-3.755252910091179,-1.0868243245302942,2,True,,3.39,0.4843,7.0,6.26,37.0,-8.8e-05,0.806,0.888,1.79,0.888,9.13,,False,,0.025749,False,16.0,
DALBHARAT.NS,2023-12-11,2023-12-20,AVOID,AVOID,,CAUTION,,0.0,STOP_HIT,7,-5.008846653477119,-5.308846653477119,-1.0598940276583915,2,True,,7.95,1.5892,5.0,16.17,39.0,-0.00019,1.132,0.576,1.43,0.553,3.25,,False,,0.111727,False,32.0,
MAPMYINDIA.NS,2023-12-11,2023-12-20,AVOID,"AVOID,MONITOR",,CAUTION,,0.0,STOP_HIT,7,-7.112823055571776,-7.412823055571776,-1.0421773461333328,2,True,,15.27,1.9087,8.0,9.28,16.0,-0.000267,0.709,0.611,6.28,0.367,6.28,,False,,0.104624,False,83.0,
DLF.NS,2023-12-11,2023-12-15,AVOID,AVOID,,CAUTION,NEUTRAL,21.0,TARGET_HIT,4,5.252341027255146,4.952341027255146,1.178603265086165,1,True,,11.83,1.6896,7.0,23.77,40.0,-0.00015,1.201,0.681,0.96,1.426,0.96,,False,,0.031771,False,55.0,
JSWDULUX.NS,2023-12-11,2024-01-03,AVOID,AVOID,,CAUTION,,0.0,TARGET_HIT,16,5.69884993237162,5.39884993237162,1.1841972495415516,4,True,,6.96,0.4638,15.0,8.09,13.0,9.8e-05,1.274,0.685,5.06,1.162,14.96,,False,,0.12009,False,17.0,
LLOYDSENGG.NS,2023-12-11,2023-12-20,AVOID,"AVOID,MONITOR",,CAUTION,NEUTRAL,31.8,STOP_HIT,7,-8.178019195165644,-8.478019195165645,-1.0366836996637698,2,True,,23.56,1.571,15.0,12.88,17.0,-2.6e-05,1.648,0.563,4.84,0.514,17.74,,False,,0.002341,False,94.0,
DMART.NS,2023-12-11,2024-01-04,AVOID,AVOID,,CAUTION,NEUTRAL,16.2,STOP_HIT,17,-4.137926924540316,-4.4379269245403155,-1.072500072009688,4,True,,8.99,1.1235,8.0,13.93,40.0,-0.000101,0.95,0.791,3.24,0.726,3.76,,False,,0.193824,False,31.0,
ELGIEQUIP.NS,2023-12-11,2024-01-29,ALERT_WATCHLIST,"ALERT_WATCHLIST,AVOID",is_ascending_triangle_breakout,CAUTION,NEUTRAL,59.8,TARGET_HIT,33,11.682906063759342,11.382906063759341,2.033400666892176,7,True,,15.87,1.5874,10.0,8.95,22.0,-0.000241,1.437,0.339,0.4,2.228,11.75,,False,,0.026185,False,24.0,BULLISH_ALIGNMENT
KAYNES.NS,2023-12-11,2023-12-15,AVOID,AVOID,,CAUTION,,0.0,TARGET_HIT,4,8.250932708881676,7.950932708881676,1.2045505928564506,1,True,,18.16,2.2706,8.0,10.75,20.0,-0.000467,0.62,0.723,6.76,2.645,19.82,,False,,0.113239,False,93.0,
EMAMILTD.NS,2023-12-11,2023-12-28,AVOID,AVOID,,CAUTION,,0.0,TARGET_HIT,12,6.2743016195066,5.9743016195066,1.190232391947157,3,True,,7.0,0.6996,10.0,5.36,6.0,7.3e-05,1.13,1.789,2.36,0.83,12.94,,False,,0.024182,False,36.0,
KARURVYSYA.NS,2023-12-11,2024-01-15,ALERT_WATCHLIST,"ALERT_WATCHLIST,AVOID",is_ascending_triangle_breakout,CAUTION,NEUTRAL,45.0,TARGET_HIT,24,11.508951406649617,11.208951406649616,1.875540808871405,5,True,,16.18,1.1561,14.0,10.1,18.0,-0.000278,0.666,0.537,0.64,5.786,0.64,,False,,0.007803,False,75.0,BULLISH_ALIGNMENT
ENDURANCE.NS,2023-12-11,2023-12-18,AVOID,AVOID,,CAUTION,,0.0,TARGET_HIT,5,7.452660222914631,7.152660222914631,1.1996823967840375,1,True,,11.98,1.7113,7.0,11.02,25.0,-0.000139,0.528,0.539,5.76,0.849,5.76,,False,,0.079316,False,21.0,
KALYANKJIL.NS,2023-12-11,2023-12-27,AVOID,AVOID,,CAUTION,,0.0,TARGET_HIT,11,9.729290975583954,9.429290975583953,1.2114565952502523,3,True,,12.13,6.0671,2.0,6.96,6.0,-0.000575,0.903,0.859,6.67,0.529,11.39,,False,,0.015157,False,95.0,
KAJARIACER.NS,2023-12-11,2023-12-20,MONITOR,"AVOID,MONITOR",,CAUTION,NEUTRAL,54.8,STOP_HIT,7,-4.0257757009385715,-4.325775700938571,-1.0745197999804255,2,True,,6.61,2.2041,3.0,11.04,22.0,-0.000429,0.738,0.908,1.08,1.06,8.6,,False,,0.066331,False,24.0,
ENGINERSIN.NS,2023-12-11,2023-12-21,AVOID,AVOID,,CAUTION,,0.0,STOP_HIT,8,-7.497748145350163,-7.7977481453501625,-1.040012013498486,2,True,,28.3,2.1766,13.0,12.47,19.0,-0.000273,1.095,0.532,0.56,1.238,4.39,,False,,0.007618,False,76.0,
